Time,月,火,水,木,金,土,日
0:00,3,3,3,3,3,2,3
1:00,2,2,2,2,2,2,2
2:00,1,1,1,1,1,1,1
3:00,1,1,1,1,1,1,1
4:00,2,2,2,2,2,1,1
5:00,4,4,4,4,4,3,1
6:00,18,18,18,18,18,15,3
7:00,36,36,36,36,36,27,7
8:00,34,34,34,34,34,21,7
9:00,30,30,30,30,30,18,8
10:00,34,34,34,34,34,19,9
11:00,36,36,36,36,36,18,10
12:00,29,29,29,29,29,11,6
13:00,15,15,15,15,15,7,4
14:00,16,16,16,16,16,8,4
15:00,22,22,22,22,22,13,5
16:00,32,32,32,32,32,23,10
17:00,45,45,45,45,45,38,13
18:00,43,43,43,43,43,32,10
19:00,18,18,18,18,18,13,5
20:00,6,6,6,6,6,4,3
21:00,4,4,4,4,4,3,5
22:00,4,4,4,4,4,4,4
23:00,2,2,2,2,2,4,2
